Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
52235261,2017-12-17 00:00:00,2017-12-17 00:00:00,3685176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685176,0,0,1
52236068,2017-12-09 00:00:00,2017-12-09 00:00:00,2905561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2905561,0,0,0,1
52236536,2017-02-18 00:00:00,2017-02-18 00:00:00,548159,1,0,0,0,0,0,0,0,548159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52236564,2017-12-16 00:00:00,2017-12-16 00:00:00,1299508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299508,0,0,1
52236611,2017-12-30 00:00:00,2017-12-30 00:00:00,11169372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11169372,1
52237441,2017-12-03 00:00:00,2017-12-09 00:00:00,23981169,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425881,20555288,0,0,0,2
52238353,2017-07-01 00:00:00,2017-07-01 00:00:00,13674672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13674672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52239272,2017-11-20 00:00:00,2017-11-23 00:00:00,6939220,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6939220,0,0,0,0,0,1
52239440,2017-03-13 00:00:00,2017-03-26 00:00:00,10532978,14,0,0,0,0,0,0,0,0,0,0,0,5266489,5266489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52239446,2017-09-08 00:00:00,2017-09-17 00:00:00,3999795,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199938,2799857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
